hotel_name,status,score,matched_title
ホテルウィングインターナショナルプレミアム京都三条,unresolved,0,
ホテルマテリアル,unresolved,0,
ウェスティン都ホテル京都,unresolved,0,
都ホテル 京都八条,unresolved,0,
ダイワロイネットホテル京都テラス八条 PREMIER,unresolved,0,
ヴィアインプライム京都駅八条口,unresolved,0,
ホテルミュッセ京都四条河原町名鉄,unresolved,0,
京都セントラルイン,unresolved,0,
ホテルフォルツァ京都四条河原町,unresolved,0,
ホテル日航奈良,unresolved,0,
ダイワロイネットホテル奈良,unresolved,0,
天然温泉 吉野桜の湯 御宿 野乃 奈良,unresolved,0,
びわ湖ホテル,unresolved,0,
HOTEL 講 大津百町,unresolved,0,
東横INN京都琵琶湖大津,unresolved,0,
ダイワロイネットホテル和歌山,unresolved,0,
天然温泉 紀州の湯 ドーミーインPREMIUM和歌山,unresolved,0,
コンフォートホテル和歌山,unresolved,0,
三井ガーデンホテル岡山,unresolved,0,
ダイワロイネットホテル岡山駅前,unresolved,0,
ホテルグランヴィア岡山,unresolved,0,
倉敷アイビースクエア,unresolved,0,
ロイヤルパークホテル倉敷,unresolved,0,
センチュリオンホテル&スパ倉敷,unresolved,0,
三井ガーデンホテル広島,unresolved,0,
ダイワロイネットホテル広島,unresolved,0,
ホテルインターゲート広島,unresolved,0,
ホテルスイート広島 白島,unresolved,0,
ヴィアインプライム広島新幹線口,unresolved,0,
ダイワロイネットホテル広島駅前,unresolved,0,
呉阪急ホテル,unresolved,0,
コンフォートホテル呉,unresolved,0,
クレイトンベイホテル,unresolved,0,
福山ニューキャッスルホテル,unresolved,0,
ダイワロイネットホテル福山駅前,unresolved,0,
リッチモンドホテル福山駅前,unresolved,0,
コンフォートホテル新山口,unresolved,0,
東横INN新山口駅新幹線口,unresolved,0,
ホテルアクティブ!山口,unresolved,0,
松江エクセルホテル東急,unresolved,0,
ドーミーインEXPRESS松江,unresolved,0,
ホテルルートイン松江,unresolved,0,
ANAクラウンプラザホテル米子,unresolved,0,
グリーンリッチホテル米子駅前,unresolved,0,
東横INN米子駅前,unresolved,0,
JRホテルクレメント高松,unresolved,0,
ダイワロイネットホテル高松,unresolved,0,
コンフォートホテル高松,unresolved,0,
JRホテルクレメント徳島,unresolved,0,
ダイワロイネットホテル徳島駅前,unresolved,0,
スマイルホテル徳島,unresolved,0,
ANAクラウンプラザホテル松山,unresolved,0,
ダイワロイネットホテル松山,unresolved,0,
コンフォートホテル松山,unresolved,0,
ザ クラウンパレス新阪急高知,unresolved,0,
ドーミーイン高知,unresolved,0,
コンフォートホテル高知,unresolved,0,
三井ガーデンホテル福岡祇園,unresolved,0,
西鉄ホテル クルーム博多祇園 櫛田神社前,unresolved,0,
ホテルリソルトリニティ博多,unresolved,0,
ホテル博多プレイス,unresolved,0,
ザ・ワンファイブマリン福岡,unresolved,0,
ホテルニューガイア上呉服,unresolved,0,
JR九州ステーションホテル小倉,unresolved,0,
ダイワロイネットホテル小倉駅前,unresolved,0,
クインテッサホテル小倉 Comic & Books,unresolved,0,
ザ・セレクトン久留米,unresolved,0,
グリーンリッチホテル久留米,unresolved,0,
久留米ワシントンホテルプラザ,unresolved,0,
KOKO HOTEL Premier 熊本,unresolved,0,
ダイワロイネットホテル熊本銀座通り PREMIER,unresolved,0,
三井ガーデンホテル熊本,unresolved,0,
JR九州ホテル ブラッサム大分,unresolved,0,
ダイワロイネットホテル大分,unresolved,0,
ホテル日航大分 オアシスタワー,unresolved,0,
JR九州ホテル長崎,unresolved,0,
ホテルフォルツァ長崎,unresolved,0,
ドーミーインPREMIUM長崎駅前,unresolved,0,
JR九州ホテル宮崎,unresolved,0,
コンフォートホテル宮崎,unresolved,0,
ドーミーイン宮崎,unresolved,0,
JR九州ホテル鹿児島,unresolved,0,
ソラリア西鉄ホテル鹿児島,unresolved,0,
ダイワロイネットホテル鹿児島天文館 PREMIER,unresolved,0,
ホテル コレクティブ,unresolved,0,
ダイワロイネットホテル那覇国際通り,unresolved,0,
ホテルグレイスリー那覇,unresolved,0,
